"140","Sagwara","India","23.68333330","74.01666670","5.5","0","1"
"141","Sawarkundla","India","21.33333330","71.30000000","5.5","0","1"
"142","Sehore","India","23.20000000","77.08333330","5.5","0","1"
"143","Seoni","India","22.08333330","79.55000000","5.5","0","1"
"144","Sidhpur","India","23.91666670","72.38333330","5.5","0","1"
"145","Sironj","India","24.10000000","77.70000000","5.5","0","1"
"146","Surat","India","21.17024","72.831062","5.5","0","1"
"147","Surendranagar","India","22.70000000","71.68333330","5.5","0","1"
"148","Suwasra","India","24.10000000","75.60000000","5.5","0","1"
"149","Tadpatri","India","14.91666670","78.01666670","5.5","0","1"
"150","Taloda","India","21.56666670","74.21666670","5.5","0","1"
"151","Tirupur","India","11.08333330","77.36666670","5.5","0","1"
"152","Udaipur","India","24.58330000","73.68330000","5.5","0","1"
"153","Ujjain (mp)","India","23.1793","75.784912","5.5","0","1"
"154","Umreth","India","22.70000000","73.11666670","5.5","0","1"
"155","Una","India","20.81666670","71.03333330","5.5","0","1"
"156","Vadodara","India","22.30000000","73.20000000","5.5","0","1"
"157","Vapi","India","20.36666670","72.83333330","5.5","0","1"
"158","Vishakapatnam","India","17.71666670","83.45000000","5.5","0","1"
"159","Wada","India","20.25000000","73.38333330","5.5","0","1"
"160","Wankaner","India","22.61666670","70.93333330","5.5","0","1"
"161","Yavatmal","India","20.40000000","78.13333330","5.5","0","1"
"162","Satara","India","17.73330000","73.96670000","5.5","0","1"
"163","Chandigarh","India","30.71670000","76.78330000","5.5","0","1"
"164","Bhavnagar","India","21.75000000","72.16670000","5.5","0","1"
"165","Jhalra patan","India","24.55000000","76.16670000","5.5","0","1"
"166","Cochin","India","9.96670000","76.33330000","5.5","0","1"
"167","Tiruchchirappalli","India","10.75000000","78.75000000","5.5","0","1"
"168","Wadhwancity","India","22.70000000","71.68333330","5.5","0","1"
"169","Sami","India","23.68333000","71.78333000","5.5","0","1"
"170","Jalgoan","India","21.08330000","75.66670000","5.5","0","1"
"171","Jaipur","India","27.00000000","75.83330000","5.5","0","1"
"172","Bharuch","India","21.75000000","73.00000000","5.5","0","1"
"173","Banswara","India","23.55000000","74.45000000","5.5","0","1"
"174","Barnagar","India","23.11670000","75.31670000","5.5","0","1"
"175","Shamgarh","India","24.18330000","75.63330000","5.5","0","1"
"176","Dhanera","India","24.52000000","72.02000000","5.5","0","1"
