"822","6","Syedna Ali Shamsuddin (RA) Hisne Afedat (Yemen) 30ma Dai Al Mutlaq","<p><img src=""https://www.aajnodin.com/fck_eg/image/30ma%20dai%20mutlaq.jpg"" alt="""" />&nbsp;</p>","24-3","1","1","1","https://www.aajnodin.com/fck_eg/image/30ma%20dai%20mutlaq.jpg"
"65","1","Shaikh Motabhai Noorbhai and Shaikh Taiyebji Shamaskhan (Balasinor)","Details will be updated soon","5-4","1","0","1",
"68","1","Syedi Abdul Rasul Shaheed (A.Q) , Banswara","<p><img height=""401"" width=""800"" src=""https://www.aajnodin.com/fck_eg/banswara(1).jpg"" alt="""" /></p>","10-4","1","1","0","https://www.aajnodin.com/fck_eg/banswara(1).jpg"
"70","1","Syedna Jalaal Shamsuddin ibne Hasan (AQ) 25ma Dai ul Mutlaq ,Ahmedabad","<p><img src=""https://www.aajnodin.com/fck_eg/syedna-jalal-shamsuddin(1).jpg"" alt="""" /></p>","16-4","1","1","0","https://www.aajnodin.com/fck_eg/syedna-jalal-shamsuddin(1).jpg"
"71","1","Syedna Moosa Kalimuddin ibne Syedna Zakiuddin (AQ) 36ma Dai ul Mtlaq , Jamnagar","<p><img alt="""" src=""https://www.aajnodin.com/fck_eg/Syedna-Moosa-Kalimuddin.jpg"" /></p>","22-4","1","1","0","https://www.aajnodin.com/fck_eg/Syedna-Moosa-Kalimuddin.jpg"
"72","1","Syedi Habibullah ibne Shaikh Sultan ali (Bharuch)","<p><img height=""800"" width=""800"" src=""https://www.aajnodin.com/fck_eg/maulaai-habibullah-bharuch.jpg"" alt="""" /></p>","22-4","1","1","0","https://www.aajnodin.com/fck_eg/maulaai-habibullah-bharuch.jpg"
"73","1","Syedna Dawood Burhanuddin ibne Ajab Shah (R.A.) 26ma Dai ul Mutlaq  Ahmedabad","<p><img src=""https://www.aajnodin.com/fck_eg/syedna-dawood-bin-ajabshah(1).jpg"" alt="""" /></p>","27-4","1","1","0","https://www.aajnodin.com/fck_eg/syedna-dawood-bin-ajabshah(1).jpg"
"74","1","Kakaji Mulla Esabhai Saheb (Pratapgarh)","Details will be updated soon","28-4","1","0","1",
"77","1","Mulla Vahedbhai saheb (AQ)  M Ibrahim (Surat)","<p><img alt="""" src=""https://www.aajnodin.com/fck_eg/mulla-wahid-bs(1).jpg"" /></p>
<p><img width=""0"" height=""0"" alt="""" src=""https://www.aajnodin.com/fck_eg/mulla-wahid-bs.jpg"" /></p>","8-5","1","1","0","https://www.aajnodin.com/fck_eg/mulla-wahid-bs(1).jpg"
"79","1","Maulai Dawood bin Kazi Ahmed Saheb (Ahmedabad)","<p><img alt="""" src=""https://www.aajnodin.com/fck_eg/maulaya-dawood-bin-ahmed.jpg"" /></p>","15-5","1","1","0","https://www.aajnodin.com/fck_eg/maulaya-dawood-bin-ahmed.jpg"
"80","1","Syedna Mohammed bin Idris Saheb (A.Q) Yemen","Details will be updated soon","16-5","1","0","1",
"81","1","Mazoon Saheb Syedi Dawood Bhaisaheb Shahabuddin, (Surat)","Details will be updated soon","17-5","1","0","1",
"82","1","Sheth Chandabhai ibne Kareembhai (Mumbai)","<p><img src=""https://www.aajnodin.com/fck_eg/chandabhai-seth(1).jpg"" alt="""" /></p>","21-5","1","1","0","https://www.aajnodin.com/fck_eg/chandabhai-seth(1).jpg"
"83","1","Mulla Jaaferji Jivaji Saheb (Amreli)","<p><img alt="""" src=""https://www.aajnodin.com/fck_eg/amreli.jpg"" /></p>","23-5","1","1","0","https://www.aajnodin.com/fck_eg/amreli.jpg"
"85","1","Mulla Taiyeb Bawa Mulla Ibrahimji, Ranala","Details will be updated soon.","12-6","1","0","1",
"100","1","Seth Bhaiji Kadibhai, Karachi","Details will be updated soon.","2-7","1","0","1",
"104","1","Syedi Safiuddin Saheb, Jamnagar","Details will be updated soon.","8-7","1","0","1",
"734","1","Syedna Ibrahim bin Hussain Alhamedi (A.Q) Bijaa Dai ul Mutlaq, Hamdaan (Yemen)","<p style=""text-align: left;""><img src=""https://www.aajnodin.com/fck_eg/image/2nd-dai-ul-mutlaq.jpg"" width=""800"" height=""1400"" alt="""" />&nbsp;</p>","16-8","1","1","0","https://www.aajnodin.com/fck_eg/image/2nd-dai-ul-mutlaq.jpg"
"736","1","Syedi Salehbhai Saheb Safiyuddin(AQ) Mumbai","<p style=""text-align: left;""><img src=""https://www.aajnodin.com/fck_eg/image/Document1(1).jpg"" width=""800"" height=""1200"" alt="""" />&nbsp;</p>","19-8","1","1","0","https://www.aajnodin.com/fck_eg/image/Document1(1).jpg"
"120","1","Syedi Shaikh Valibhai ibne Sayedi Habibullah, Parda (Malwa)","Details will be updated soon.","22-8","1","0","1",
"744","1","Maulatona Hurratul Maleka Arwa binte Ahmed (AQ)  Zijibla (Yemen)","<p style=""text-align: left;""><img src=""https://www.aajnodin.com/fck_eg/image/Maulatena-Hurratul-Maleka.jpg"" width=""800"" height=""2700"" alt="""" />&nbsp;</p>","22-8","1","1","0","https://www.aajnodin.com/fck_eg/image/Maulatena-Hurratul-Maleka.jpg"
"122","1","Syedi Shaikh Fir bin Dawood Shaheed, Peenpur (Saurashtra)","Details will be updated soon.","22-8","1","0","1",
"745","1","Syedi ShamsKhan ibne Syedi Yusufji (AQ) Surat","<p style=""text-align: left;""><img src=""https://www.aajnodin.com/fck_eg/image/Document2.jpg"" width=""800"" height=""1900"" alt="""" />&nbsp;</p>","25-8","1","1","0","https://www.aajnodin.com/fck_eg/image/Document2.jpg"
"740","1","Syedi Jeevanji bin Shaikh Dawood Bhaisaheb, Burhanpur","<p style=""text-align: left;""><img src=""https://www.aajnodin.com/fck_eg/image/Syedi-Jivanji-saheb.jpg"" width=""800"" height=""1300"" alt="""" />&nbsp;</p>","29-8","1","1","0","https://www.aajnodin.com/fck_eg/image/Syedi-Jivanji-saheb.jpg"
"127","1","Shaikh Valibhai bin Shaikh Habibullah, Parda (Malwa)","<p><img alt="""" src=""https://www.aajnodin.com/fck_eg/image/Parda.jpg"" /></p>","2-9","1","1","0","https://www.aajnodin.com/fck_eg/image/Parda.jpg"
"750","1","Syedna Abdullah Fakhruddin ibne Ali (AQ) 16ma Dai,ul Mutlaq Zimarmar (Yemen)","<p style=""text-align: left;""><img src=""https://www.aajnodin.com/fck_eg/image/16-ma-dai.jpg"" width=""800"" height=""1857"" alt="""" />&nbsp;</p>","9-9","1","1","0","https://www.aajnodin.com/fck_eg/image/16-ma-dai.jpg"
"131","1","Syedi Hebatullah Jamaluddin, Jamnagar","<p><img alt=\""\"" src=\""https://www.aajnodin.com/fck_eg/image/Syedi-hebatullah-jamaluddin.jpg\"" /></p>","19-9","3","0","1","https://www.aajnodin.com/fck_eg/image/Syedi-hebatullah-jamaluddin.jpg"
"132","1","Syedna Mohammed Izzuddin ibne Syedi Jeevanji Saheb (AQ) 44ma Dai, ul Mutlaq  Surat","<p><img width=""798"" height=""3500"" alt="""" src=""https://www.aajnodin.com/fck_eg/image/syedna-mohd-ezzuddin.jpg"" /></p>","19-9","2","1","0","https://www.aajnodin.com/fck_eg/image/syedna-mohd-ezzuddin.jpg"
"134","1","Syedi Yusufji Ane Syedi Taiyebji Shaheed (AQ)  Ahmedabad","<p><img alt="""" src=""https://www.aajnodin.com/fck_eg/image/Maula-yusufji-ane-tyebji.jpg"" /></p>","4-10","1","1","0","https://www.aajnodin.com/fck_eg/image/Maula-yusufji-ane-tyebji.jpg"
"136","1","Syedna Hasan Badruddin (RA)  Hisne Zimarmar (Yemen) 17ma Dai Al Mutlaq","<p><img alt="""" src=""https://www.aajnodin.com/fck_eg/image/Syedna-Hasan-Badruddin.jpg"" /></p>","6-10","1","1","0","https://www.aajnodin.com/fck_eg/image/Syedna-Hasan-Badruddin.jpg"
"138","1","Syedna Abbas Bin Syedna Mohammed (R.A)  Hisne Afedat (Yemen) 15ma Dai Al Mutlaq","<p><img alt="""" src=""https://www.aajnodin.com/fck_eg/image/syedna-abbas.jpg"" /></p>","8-10","1","1","0","https://www.aajnodin.com/fck_eg/image/syedna-abbas.jpg"
"139","1","Syedna Qasimkhan Zainuddin (R.A)  Ahmedabad , 31ma Dai Al Mutlaq","<p><img alt="""" src=""https://www.aajnodin.com/fck_eg/image/syedna-qasim-khan-zainuddin.jpg"" /></p>","9-10","4","1","0","https://www.aajnodin.com/fck_eg/image/syedna-qasim-khan-zainuddin.jpg"
"141","1","Syedna Husain Husamuddain (R.A)  Masaar (Yemen) 21ma Dai Al Mutlaq","<p><img alt="""" src=""https://www.aajnodin.com/fck_eg/image/syedna-husain-bin-syedna-idrees.jpg"" /></p>","10-10","3","1","0","https://www.aajnodin.com/fck_eg/image/syedna-husain-bin-syedna-idrees.jpg"
